INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0001', 'thực phẩm', 'Thịt gà nướng', 8685794, 83, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0002', 'thực phẩm', 'Cá hồi', 5974874, 58, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0003', 'thực phẩm', 'Ức gà luộc', 166163, 90, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0004', 'thực phẩm', 'Thịt bò nạc', 3447893, 57, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0005', 'thực phẩm', 'Thịt heo nạc', 8207093, 87, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0006', 'thực phẩm', 'Trứng gà', 1320574, 69, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0007', 'thực phẩm', 'Sữa chua không đường', 6311746, 73, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0008', 'thực phẩm', 'Sữa tươi không đường', 4641762, 52, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0009', 'thực phẩm', 'Hạt chia', 9882852, 86, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0010', 'thực phẩm', 'Hạt lanh', 7850024, 65, 'cái', '');
INSERT INTO SANPHAM (MASANPHAM, LOAISANPHAM, TENSANPHAM, GIATHANH, SOLUONG, DONVI, ANH) VALUES ('SP0011', 'thực phẩm', 'Hạt bí ngô', 8124589, 56, 'cái', '');
