id,Review,Sentence Component,aspect_text,aspect,sentiment_text,sentiment
1,slide giáo trình đầy đủ .,slide giáo trình đầy đủ,slide giáo trình,Course information,đầy đủ,Positive
2,"nhiệt tình giảng dạy , gần gũi với sinh viên .","nhiệt tình giảng dạy , gần gũi với sinh viên",giảng dạy,Teaching quality,"nhiệt tình giảng dạy , gần gũi với sinh viên",Positive
3,đi học đầy đủ full điểm chuyên cần .,đi học đầy đủ full điểm chuyên cần,đi học đầy đủ full điểm chuyên cần,Test and evaluation,full điểm chuyên cần,Positive
4,chưa áp dụng công nghệ thông tin và các thiết bị hỗ trợ cho việc giảng dạy .,chưa áp dụng công nghệ thông tin và các thiết bị hỗ trợ cho việc giảng dạy,việc giảng dạy,Teaching quality,chưa áp dụng công nghệ thông tin và các thiết bị hỗ trợ,Negative
5,"thầy giảng bài hay , có nhiều bài tập ví dụ ngay trên lớp .",thầy giảng bài hay,"thầy giảng bài,giảng bài hay",Teaching quality,giảng bài hay,Positive
5,"thầy giảng bài hay , có nhiều bài tập ví dụ ngay trên lớp .",có nhiều bài tập ví dụ ngay trên lớp,nhiều bài tập ví dụ ngay trên lớp,Teaching quality,nhiều bài tập ví dụ ngay trên lớp,Positive
6,"giảng viên đảm bảo thời gian lên lớp , tích cực trả lời câu hỏi của sinh viên , thường xuyên đặt câu hỏi cho sinh viên .",giảng viên đảm bảo thời gian lên lớp,giảng viên đảm bảo thời gian lên lớp,Teaching quality,đảm bảo thời gian lên lớp,Positive
6,"giảng viên đảm bảo thời gian lên lớp , tích cực trả lời câu hỏi của sinh viên , thường xuyên đặt câu hỏi cho sinh viên .",tích cực trả lời câu hỏi của sinh viên,tích cực trả lời câu hỏi,Support from lecturers,tích cực trả lời câu hỏi,Positive
6,"giảng viên đảm bảo thời gian lên lớp , tích cực trả lời câu hỏi của sinh viên , thường xuyên đặt câu hỏi cho sinh viên .",thường xuyên đặt câu hỏi cho sinh viên,đặt câu hỏi cho sinh viên,Teaching quality,thường xuyên đặt câu hỏi,Positive
7,"em sẽ nợ môn này , nhưng em sẽ học lại ở các học kỳ kế tiếp .","em sẽ nợ môn này , nhưng em sẽ học lại ở các học kỳ kế tiếp","em sẽ nợ môn này , nhưng em sẽ học lại ở các học kỳ kế tiếp",General review,"em sẽ nợ môn này , nhưng em sẽ học lại ở các học kỳ kế tiếp",Neutral
8,"thời lượng học quá dài , không đảm bảo tiếp thu hiệu quả .","thời lượng học quá dài , không đảm bảo tiếp thu hiệu quả",thời lượng học,Organization and management,"thời lượng học quá dài , không đảm bảo tiếp thu hiệu quả",Negative
9,"nội dung môn học có phần thiếu trọng tâm , hầu như là chung chung , khái quát khiến sinh viên rất khó nắm được nội dung môn học .",nội dung môn học có phần thiếu trọng tâm,nội dung môn học,Course information,thiếu trọng tâm,Negative
9,"nội dung môn học có phần thiếu trọng tâm , hầu như là chung chung , khái quát khiến sinh viên rất khó nắm được nội dung môn học .","hầu như là chung chung , khái quát khiến sinh viên rất khó nắm được nội dung môn học",nội dung môn học,Course information,"hầu như là chung chung , khái quát",Negative
10,cần nói rõ hơn bằng cách trình bày lên bảng thay vì nhìn vào slide .,cần nói rõ hơn bằng cách trình bày lên bảng thay vì nhìn vào slide,cách trình bày lên bảng thay vì nhìn vào slide,Teaching quality,cần nói rõ hơn bằng cách trình bày lên bảng thay vì nhìn vào slide,Negative
11,thầy rất tận tình và đi dạy rất đúng giờ .,thầy rất tận tình và đi dạy rất đúng giờ,thầy,Teaching quality,rất tận tình và đi dạy rất đúng giờ,Positive
12,dễ bị áp lực .,dễ bị áp lực,"dễ bị áp lực,dễ bị áp lực",General review,dễ bị áp lực,Negative
13,"đang dạy thầy wzjwz208 đi qua nước ngoài giữa chừng , thầy wzjwz209 dạy thay .","đang dạy thầy wzjwz208 đi qua nước ngoài giữa chừng , thầy wzjwz209 dạy thay","đang dạy thầy wzjwz208 đi qua nước ngoài giữa chừng , thầy wzjwz209 dạy thay",Organization and management,"đang dạy thầy wzjwz208 đi qua nước ngoài giữa chừng , thầy wzjwz209 dạy thay",Neutral
14,môn học còn dễ cần nâng độ khó lên nữa .,môn học còn dễ cần nâng độ khó lên nữa,môn học,Course information,còn dễ cần nâng độ khó lên nữa,Neutral
15,"có thể cho sinh viên đi thăm quan nhiều công ty xem quy mô và cách làm việc , để giúp hiểu rõ hơn vê ngành mình đang học .","có thể cho sinh viên đi thăm quan nhiều công ty xem quy mô và cách làm việc , để giúp hiểu rõ hơn vê ngành mình đang học","có thể cho sinh viên đi thăm quan nhiều công ty xem quy mô và cách làm việc , để giúp hiểu rõ hơn vê ngành mình đang học",Course information,"có thể cho sinh viên đi thăm quan nhiều công ty xem quy mô và cách làm việc , để giúp hiểu rõ hơn vê ngành mình đang học",Neutral
16,hài lòng về tất cả .,hài lòng về tất cả,hài lòng về tất cả,General review,hài lòng về tất cả,Neutral
17,"nhiệt tình , vui vẻ .","nhiệt tình , vui vẻ","nhiệt tình , vui vẻ",General review,"nhiệt tình , vui vẻ",Positive
18,thấy nhiệt tình trong việc trao đổi giúp đỡ về học tập .,thấy nhiệt tình trong việc trao đổi giúp đỡ về học tập,việc trao đổi giúp đỡ về học tập,Support from lecturers,nhiệt tình trong việc trao đổi giúp đỡ về học tập,Positive
19,phong cách giảng bài của thầy rất gần gũi với sinh viên !,phong cách giảng bài của thầy rất gần gũi với sinh viên,phong cách giảng bài,Teaching quality,rất gần gũi với sinh viên,Positive
20,giảng dạy kết hợp các hoạt động giải trí có hiệu quả .,giảng dạy kết hợp các hoạt động giải trí có hiệu quả,giảng dạy,Teaching quality,kết hợp các hoạt động giải trí có hiệu quả,Positive
21,cần tạo các buổi seminar để sinh viên có thể hiểu sâu thêm về các vấn đề trong chuyên ngành nhưng không có trong môn học .,cần tạo các buổi seminar để sinh viên có thể hiểu sâu thêm về các vấn đề trong chuyên ngành nhưng không có trong môn học,môn học,Course information,cần tạo các buổi seminar để sinh viên có thể hiểu sâu thêm về các vấn đề trong chuyên ngành nhưng không có trong môn học,Neutral
22,tiết học thoải mái .,tiết học thoải mái,tiết học,Course information,thoải mái,Positive
23,"thầy nhiệt tình , quan tâm tới sinh viên .","thầy nhiệt tình , quan tâm tới sinh viên",thầy,Teaching quality,"nhiệt tình , quan tâm",Positive
24,"giảng dạy nhiệt tình , hướng dẫn chi tiết đến lúc sinh viên hiểu !","giảng dạy nhiệt tình , hướng dẫn chi tiết đến lúc sinh viên hiểu",giảng dạy,Teaching quality,"nhiệt tình , hướng dẫn chi tiết",Positive
25,"chưa có nhiều tiết làm bài tập , chữa bài tập trên lớp .","chưa có nhiều tiết làm bài tập , chữa bài tập trên lớp","chưa có nhiều tiết làm bài tập , chữa bài tập trên lớp",Course information,"chưa có nhiều tiết làm bài tập , chữa bài tập trên lớp",Negative
26,tài liệu được bổ sung nhiều và đầy đủ trên moodle .,tài liệu được bổ sung nhiều và đầy đủ trên moodle,tài liệu,Course information,được bổ sung nhiều và đầy đủ trên moodle,Positive
27,giảng viên phải nên cho ví dụ cụ thể những phần quan trọng nên nói kỹ có thể lấy ví dụ minh họa tránh việc lập đi lập lại nhiều lần sẽ tạo cảm giác chán cho sinh viên .,giảng viên phải nên cho ví dụ cụ thể những phần quan trọng nên nói kỹ,giảng viên,Teaching quality,phải nên cho ví dụ cụ thể những phần quan trọng nên nói kỹ,Neutral
27,giảng viên phải nên cho ví dụ cụ thể những phần quan trọng nên nói kỹ có thể lấy ví dụ minh họa tránh việc lập đi lập lại nhiều lần sẽ tạo cảm giác chán cho sinh viên .,có thể lấy ví dụ minh họa tránh việc lập đi lập lại nhiều lần sẽ tạo cảm giác chán cho sinh viên,ví dụ minh họa,Teaching quality,có thể lấy ví dụ minh họa tránh việc lập đi lập lại nhiều lần sẽ tạo cảm giác chán cho sinh viên,Neutral
28,nên biên soạn một tài liệu của chính trường ta .,nên biên soạn một tài liệu của chính trường ta,tài liệu,Course information,nên biên soạn một tài liệu của chính trường ta,Neutral
29,không giúp đỡ sinh viên trong những vấn đề xung quanh .,không giúp đỡ sinh viên trong những vấn đề xung quanh,giúp đỡ sinh viên,Support from lecturers,không giúp đỡ sinh viên trong những vấn đề xung quanh,Negative
30,"bài tập đa dạng , cụ thể .","bài tập đa dạng , cụ thể","bài tập, đa dạng , cụ thể",Course information,"bài tập, đa dạng , cụ thể",Positive
31,"nội dung giảng viên yêu câu seminar hầu như không có tài liệu tham khảo và rất ít ứng dụng trong thực tế , đề nghị có sự thay đổi trong những năm học tới .",nội dung giảng viên yêu câu seminar hầu như không có tài liệu tham khảo và rất ít ứng dụng trong thực tế,nội dung giảng viên yêu câu seminar,Teaching quality,nội dung giảng viên yêu câu seminar hầu như không có tài liệu tham khảo và rất ít ứng dụng trong thực tế,Negative
31,"nội dung giảng viên yêu câu seminar hầu như không có tài liệu tham khảo và rất ít ứng dụng trong thực tế , đề nghị có sự thay đổi trong những năm học tới .",đề nghị có sự thay đổi trong những năm học tới,đề nghị có sự thay đổi trong những năm học tới,General review,đề nghị có sự thay đổi trong những năm học tới,Neutral
32,slide up đầy đủ trước mỗi buổi học .,slide up đầy đủ trước mỗi buổi học,slide,Course information,up đầy đủ trước mỗi buổi học,Positive
33,"nội dung giảng dạy quá nhàm chán , khô khan .","nội dung giảng dạy quá nhàm chán , khô khan",nội dung giảng dạy,Teaching quality,"quá nhàm chán , khô khan",Negative
34,lượng kiến thức quá nhiều trong một học kỳ .,lượng kiến thức quá nhiều trong một học kỳ,lượng kiến thức,Course information,quá nhiều trong một học kỳ,Negative
35,thầy chép bảng nhiều .,thầy chép bảng nhiều,thầy,Teaching quality,chép bảng nhiều,Neutral
36,"thầy tận tình hướng dẫn cách làm , giải quyết những thắc mắc của sinh viên .","thầy tận tình hướng dẫn cách làm , giải quyết những thắc mắc của sinh viên","thầy tận tình hướng dẫn cách làm , giải quyết những thắc mắc của sinh viên",Support from lecturers,"tận tình hướng dẫn cách làm , giải quyết những thắc mắc của sinh viên",Positive
37,"chúc các thầy cô , anh chị làm việc vui vẻ !","chúc các thầy cô , anh chị làm việc vui vẻ","chúc các thầy cô , anh chị làm việc vui vẻ",General review,"chúc các thầy cô , anh chị làm việc vui vẻ",Neutral
38,"hay , nhiệt tình , dễ hiểu .","hay , nhiệt tình , dễ hiểu","hay , nhiệt tình , dễ hiểu",General review,"hay , nhiệt tình , dễ hiểu",Positive
39,"mặc dù nhiệt tình nhưng khi truyền đạt thì lại khó hiểu , sử dụng ngôn từ gây khó khăn cho việc hiểu bài .",mặc dù nhiệt tình nhưng khi truyền đạt thì lại khó hiểu,truyền đạt,Teaching quality,mặc dù nhiệt tình nhưng khi truyền đạt thì lại khó hiểu,Neutral
39,"mặc dù nhiệt tình nhưng khi truyền đạt thì lại khó hiểu , sử dụng ngôn từ gây khó khăn cho việc hiểu bài .",sử dụng ngôn từ gây khó khăn cho việc hiểu bài,sử dụng ngôn từ,Teaching quality,khó khăn cho việc hiểu bài,Negative
40,"thầy dạy khá hay , cung cấp nhiều thông tin liên quan đến môn học , đưa ra nhiều hướng giải quyết khi sinh viên gặp vấn đề khó khăn với đồ án !",thầy dạy khá hay,thầy,Teaching quality,dạy khá hay,Positive
40,"thầy dạy khá hay , cung cấp nhiều thông tin liên quan đến môn học , đưa ra nhiều hướng giải quyết khi sinh viên gặp vấn đề khó khăn với đồ án !",cung cấp nhiều thông tin liên quan đến môn học,cung cấp nhiều thông tin,Support from lecturers,cung cấp nhiều thông tin liên quan đến môn học,Positive
40,"thầy dạy khá hay , cung cấp nhiều thông tin liên quan đến môn học , đưa ra nhiều hướng giải quyết khi sinh viên gặp vấn đề khó khăn với đồ án !",đưa ra nhiều hướng giải quyết khi sinh viên gặp vấn đề khó khăn với đồ án,đưa ra nhiều hướng giải quyết,Support from lecturers,đưa ra nhiều hướng giải quyết khi sinh viên gặp vấn đề khó khăn với đồ án,Positive
41,hy vọng học kỳ sau có thể học được với cô .,hy vọng học kỳ sau có thể học được với cô,hy vọng học kỳ sau có thể học được với cô,General review,hy vọng học kỳ sau có thể học được với cô,Neutral
42,nhiều khi em lên lớp học môn đặc tả hình thức giống như lên lớp học mà không biết mình học cái gì .,nhiều khi em lên lớp học môn đặc tả hình thức giống như lên lớp học mà không biết mình học cái gì,nhiều khi em lên lớp học môn đặc tả hình thức giống như lên lớp học mà không biết mình học cái gì,Course information,nhiều khi em lên lớp học môn đặc tả hình thức giống như lên lớp học mà không biết mình học cái gì,Negative
43,trong khi giảng nói nhỏ quá .,trong khi giảng nói nhỏ quá,giảng,Teaching quality,nói nhỏ quá,Negative
44,thực hành khó hiểu .,thực hành khó hiểu,thực hành khó hiểu,Teaching quality,thực hành khó hiểu,Negative
45,"thầy rất tận tâm nhiệt tình , quan tâm đến sinh viên , giảng bài dễ hiểu , kiến thức sâu rộng am hiểu cao .",thầy rất tận tâm nhiệt tình,thầy,Teaching quality,rất tận tâm nhiệt tình,Positive
45,"thầy rất tận tâm nhiệt tình , quan tâm đến sinh viên , giảng bài dễ hiểu , kiến thức sâu rộng am hiểu cao .",quan tâm đến sinh viên,quan tâm đến sinh viên,Support from lecturers,quan tâm đến sinh viên,Positive
45,"thầy rất tận tâm nhiệt tình , quan tâm đến sinh viên , giảng bài dễ hiểu , kiến thức sâu rộng am hiểu cao .",giảng bài dễ hiểu,giảng bài,Teaching quality,dễ hiểu,Positive
45,"thầy rất tận tâm nhiệt tình , quan tâm đến sinh viên , giảng bài dễ hiểu , kiến thức sâu rộng am hiểu cao .",kiến thức sâu rộng am hiểu cao,kiến thức sâu rộng,Teaching quality,sâu rộng am hiểu cao,Positive
46,"cô dạy với nhiệt huyết của mình , dù như thế nào , cô vẫn luôn mỉm cười và kiên trì giảng bài cho chúng em đến khi chúng em hiểu .",cô dạy với nhiệt huyết của mình,cô dạy,Teaching quality,dạy với nhiệt huyết của mình,Positive
46,"cô dạy với nhiệt huyết của mình , dù như thế nào , cô vẫn luôn mỉm cười và kiên trì giảng bài cho chúng em đến khi chúng em hiểu .","dù như thế nào , cô vẫn luôn mỉm cười và kiên trì giảng bài cho chúng em đến khi chúng em hiểu",cô vẫn luôn mỉm cười và kiên trì giảng bài,Teaching quality,"dù như thế nào , cô vẫn luôn mỉm cười và kiên trì giảng bài cho chúng em đến khi chúng em hiểu",Positive
47,"cô lên lớp đúng giờ , giảng bài rất dễ hiểu cho sinh viên .",cô lên lớp đúng giờ,cô,Teaching quality,lên lớp đúng giờ,Positive
47,"cô lên lớp đúng giờ , giảng bài rất dễ hiểu cho sinh viên .",giảng bài rất dễ hiểu cho sinh viên,giảng bài,Teaching quality,giảng bài rất dễ hiểu cho sinh viên,Positive
48,"những thông tin cần thiết như doubledot thời gian dealine , cách nộp bài thường không dặn lớp thực hành thứ hai .","những thông tin cần thiết như doubledot thời gian dealine , cách nộp bài thường không dặn lớp thực hành thứ hai","thông tin cần thiết như doubledot thời gian dealine , cách nộp bài thường",Test and evaluation,"thông tin cần thiết như doubledot thời gian dealine , cách nộp bài thường không dặn lớp thực hành thứ hai",Negative
49,"thầy nhiệt tình , dễ chịu .","thầy nhiệt tình , dễ chịu,thầy",Teaching quality,"thầy nhiệt tình , dễ chịu","nhiệt tình , dễ chịu",Positive
50,"giảng viên chưa đi sâu vào bản chất của vấn đề , em chỉ học thôi mà không biết bản chất của nó là gì nó có ứng dụng gì sau này cho chuyên nghành của em .","giảng viên chưa đi sâu vào bản chất của vấn đề , em chỉ học thôi mà không biết bản chất của nó là gì nó có ứng dụng gì sau này cho chuyên nghành của em",giảng viên chưa đi sâu vào bản chất của vấn đề,Teaching quality,"chưa đi sâu vào bản chất của vấn đề , em chỉ học thôi mà không biết bản chất của nó là gì nó có ứng dụng gì sau này cho chuyên nghành của em",Negative
