id,Review,Sentence Component,aspect_text,aspect,sentiment_text,sentiment
1,slide giáo trình đầy đủ .
101,tôi cảm thấy giảng viên dạy rất tốt .,tôi cảm thấy giảng viên dạy rất tốt,giảng viên,Teaching quality,dạy rất tốt,Positive
102,"không biết thầy nào dạy chính thức , mà học thường nghỉ không thông báo trước để sinh viên đứng chờ sắp hết tiết rồi tự về nhiều lần .",không biết thầy nào dạy chính thức
102,"không biết thầy nào dạy chính thức , mà học thường nghỉ không thông báo trước để sinh viên đứng chờ sắp hết tiết rồi tự về nhiều lần .",mà học thường nghỉ không thông báo trước để sinh viên đứng chờ sắp hết tiết rồi tự về nhiều lần,thầy nào dạy chính thức,Teaching quality,"không biết,không thông báo trước,tự về",Negative,nghỉ không thông báo trước,Organization and management
103,cần có sự tương tác giữa giảng viên và sinh viên nhiều hơn .,cần có sự tương tác giữa giảng viên và sinh viên nhiều hơn,sự tương tác giữa giảng viên và sinh viên,Support from lecturers,nhiều hơn,Negative
104,giảng viên thân thiện nhiệt tình cởi mở .,giảng viên thân thiện nhiệt tình cởi mở,giảng viên,Support from lecturers,thân thiện nhiệt tình cởi mở,Positive
105,"giáo viên có mời các công ty về trình bày , giúp sinh viên cập nhật kiến thức thực tiễn .","giáo viên có mời các công ty về trình bày , giúp sinh viên cập nhật kiến thức thực tiễn","mời các công ty về trình bày,cập nhật kiến thức thực tiễn",Course information,giúp sinh viên,Positive
106,coi lại thái độ giảng viên thực hành .,coi lại thái độ giảng viên thực hành,thái độ giảng viên,Support from lecturers,coi lại,Negative
107,"giảng viên nhiệt tình , giải nhiều bài tập .","giảng viên nhiệt tình , giải nhiều bài tập",giảng viên,Support from lecturers,"nhiệt tình,giải nhiều bài tập",Positive
108,bài giảng của thầy rất nhiệt tình .,bài giảng của thầy rất nhiệt tình,bài giảng,Teaching quality,rất nhiệt tình,Positive
109,"môn học chưa thực tiễn , chưa thu hút sinh viên .","môn học chưa thực tiễn , chưa thu hút sinh viên",môn học,Course information,"chưa thực tiễn,chưa thu hút",Negative
110,dạy hơi nhanh !,dạy hơi nhanh,dạy,Teaching quality,hơi nhanh,Negative
111,ít làm bài tập .,ít làm bài tập,bài tập,Workload,ít,Negative
112,"giảng bài kém thu hút , vị trí đứng giảng không hợp lý , ôn tập cuối kỳ còn chưa tập trung vào vấn đề .",giảng bài kém thu hút
112,"giảng bài kém thu hút , vị trí đứng giảng không hợp lý , ôn tập cuối kỳ còn chưa tập trung vào vấn đề .",vị trí đứng giảng không hợp lý
112,"giảng bài kém thu hút , vị trí đứng giảng không hợp lý , ôn tập cuối kỳ còn chưa tập trung vào vấn đề .",ôn tập cuối kỳ còn chưa tập trung vào vấn đề,"giảng bài,vị trí đứng giảng",Teaching quality,ôn tập cuối kỳ,Test and evaluation,"kém thu hút,không hợp lý,chưa tập trung vào vấn đề",Negative
113,"giảng viên nhiệt tình , bài giảng thu hút .",giảng viên nhiệt tình
113,"giảng viên nhiệt tình , bài giảng thu hút .",bài giảng thu hút,giảng viên,Support from lecturers,bài giảng,Teaching quality,"nhiệt tình,thu hút",Positive
114,"nhờ thầy và giảng viên lý thuyết , em đã hiểu rõ về môn này rất nhiều !","nhờ thầy và giảng viên lý thuyết , em đã hiểu rõ về môn này rất nhiều","thầy,giảng viên lý thuyết",Teaching quality,"hiểu rõ, rất nhiều",Positive
115,môn này khá trừu tượng nên mong thầy có nhiều liên tưởng tới thực tiễn hơn để chúng em có thể hiểu .,môn này khá trừu tượng,Course information,môn này khá trừu tượng
115,môn này khá trừu tượng nên mong thầy có nhiều liên tưởng tới thực tiễn hơn để chúng em có thể hiểu .,mong thầy có nhiều liên tưởng tới thực tiễn hơn để chúng em có thể hiểu,môn này,Course information,khá trừu tượng,Neutral,"thầy,liên tưởng tới thực tiễn",Teaching quality,"mong,có nhiều liên tưởng",Negative
116,cần thêm nhiều tài liệu cho sinh viên .,cần thêm nhiều tài liệu cho sinh viên,tài liệu,Course information,cần thêm,Negative
117,bài tập trên lớp .,bài tập trên lớp,bài tập,Workload,bài tập trên lớp,Neutral
118,tăng số tiết dạy lên để sinh viên có nhiều cơ hội hỏi đáp thắc mắc về môn học .,tăng số tiết dạy lên để sinh viên có nhiều cơ hội hỏi đáp thắc mắc về môn học,số tiết dạy,Workload,"tăng,nhiều cơ hội",Neutral
119,thầy nhiệt tình dễ hiểu .,thầy nhiệt tình dễ hiểu,thầy,Support from lecturers,nhiệt tình dễ hiểu,Positive
120,thực hành và lý thuyết nên dạy song song .,thực hành và lý thuyết nên dạy song song,thực hành và lý thuyết,Course information,nên dạy song song,Neutral
121,giảng viên dạy nhanh .,giảng viên dạy nhanh,giảng viên,Teaching quality,dạy nhanh,Negative
122,bài tập trên lớp nên được giới thiệu ngay từ đầu tiết học để học sinh không tốn thời gian đọc đề cũng như có thể suy nghĩ cách giải cùng lúc với việc nghe giảng .,bài tập trên lớp nên được giới thiệu ngay từ đầu tiết học để học sinh không tốn thời gian đọc đề cũng như có thể suy nghĩ cách giải cùng lúc với việc nghe giảng,bài tập trên lớp,Workload,nên được giới thiệu ngay từ đầu,Neutral
123,giảng viên cho bài tập hay .,giảng viên cho bài tập hay,bài tập,Workload,hay,Positive
124,cập nhật bài tập mới .,cập nhật bài tập mới,bài tập mới,Workload,cập nhật,Neutral
125,"lên lớp ai làm việc người ấy , thầy không có giảng gì thêm .","lên lớp ai làm việc người ấy , thầy không có giảng gì thêm",thầy,Teaching quality,không có giảng gì thêm,Negative
126,"tận tâm , nhiệt tình , quan tâm đến sinh viên .","tận tâm , nhiệt tình , quan tâm đến sinh viên","tận tâm,nhiệt tình,quan tâm đến sinh viên",Support from lecturers,"tận tâm,nhiệt tình",Positive
