Title,Author,Length
Outer Dark,By: Robbie MacNiven,Length: 8 hrs and 47 mins
When Wizards Follow Fools,By: Andrew Rowe,Length: 21 hrs and 2 mins
Time to Bounce,By: Lani Lynn Vale,Length: 6 hrs and 6 mins
Big Dumb Eyes,By: Nate Bargatze,Length: 7 hrs
Crave,By: Chelle Bliss,Length: 2 hrs and 44 mins
Dark Awakening,By: I. T. Lucas,Length: 10 hrs and 12 mins
Empire,By: Nicoli Gonnella,Length: 21 hrs and 37 mins
She's a Wild One,By: Kristen Proby,Length: Not Yet Known
Knight of Shadows,By: Kel Kade,Length: 14 hrs and 54 mins
Sekret Machines: War,"By: Tom DeLonge, Peter Levenda",Length: 19 hrs and 17 mins
"Classroom of the Elite: Year 2 (Light Novel), Vol. 3",By: Syougo Kinugasa,Length: 10 hrs and 56 mins
The Anaconda Downstairs,By: Amy Award,Length: 9 hrs and 37 mins
We Three Queens,By: Rhys Bowen,Length: Not Yet Known
Sanctuary 2.0,By: Apollos Thorne,Length: 14 hrs and 14 mins
The Last Lion,By: Nicholas Sansbury Smith,Length: Not Yet Known
Quicksilver,By: Callie Hart,Length: 21 hrs and 51 mins
From Here to the Great Unknown,"By: Lisa Marie Presley, Riley Keough",Length: 5 hrs and 42 mins
The Next Conversation,By: Jefferson Fisher,Length: 11 hrs
City of Gods and Monsters,By: Kayla Edwards,Length: 23 hrs and 36 mins
Distant Warning,"By: J.N. Chaney, Terry Maggert",Length: 10 hrs and 49 mins
The Late Lord Thorpe,By: Peter Grainger,Length: 14 hrs
The Lost Legion,"By: Jason Anspach, Blaine L. Pardoe, Nick Cole",Length: 12 hrs and 20 mins
Inheriting Miss Fortune,By: Lucy Lennox,Length: 9 hrs and 17 mins
"The Weakest Tamer Began a Journey to Pick Up Trash, Vol. 4",By: Honobonoru500,Length: 9 hrs and 49 mins
Chilling Reflections,By: Drew Hayes,Length: 34 hrs
Drumindor,By: Michael J. Sullivan,Length: 12 hrs and 45 mins
The Academy,By: Patrick Bet-David,Length: 11 hrs and 45 mins
Shattered Boundaries,By: Shawn Wilson,Length: 10 hrs and 46 mins
The Striker,By: Ana Huang,Length: 15 hrs and 45 mins
Huntsong,By: pirateaba,Length: 30 hrs and 31 mins
Dungeon Diving 202,By: Bruce Sentar,Length: 10 hrs and 16 mins
To Catch a Falling Leaf,By: J. P. Valentine,Length: 10 hrs and 38 mins
Cruel Sentence,By: Michael Stagg,Length: 11 hrs and 40 mins
Unredacted,By: Christopher Steele,Length: 8 hrs and 52 mins
Play Nice,By: Jason Schreier,Length: 9 hrs and 16 mins
Sonny Boy,By: Al Pacino,Length: 12 hrs and 28 mins
"The Condemned Villainess Goes Back in Time and Aims to Become the Ultimate Villain, Vol. 2",By: Bakufu Narayama,Length: 11 hrs and 17 mins
Warlords of the Circle Sea Omnibus,By: Ember Lane,Length: 130 hrs and 6 mins
Hell's Wardens,By: pirateaba,Length: 26 hrs and 36 mins
Meditations for Mortals,By: Oliver Burkeman,Length: 4 hrs and 4 mins
Open When,By: Julie Smith,Length: 7 hrs and 37 mins
The PLAN,By: Kendra J. Adachi,Length: 6 hrs
What Does It Feel Like?,By: Sophie Kinsella,Length: 1 hr and 57 mins
I Haven’t Been Entirely Honest with You,By: Miranda Hart,Length: 10 hrs and 9 mins
